"filename", "language", "Python", "HTML", "JavaScript", "pip requirements", "Markdown", "PostCSS", "comment", "blank", "total"
"d:\proyectos\Proyecto-sistem\backend\README.md", "Markdown", 0, 0, 0, 0, 299, 0, 0, 114, 413
"d:\proyectos\Proyecto-sistem\backend\accesos\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\proyectos\Proyecto-sistem\backend\accesos\admin.py", "Python", 30, 0, 0, 0, 0, 0, 0, 7, 37
"d:\proyectos\Proyecto-sistem\backend\accesos\api.py", "Python", 40, 0, 0, 0, 0, 0, 2, 6, 48
"d:\proyectos\Proyecto-sistem\backend\accesos\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 3, 7
"d:\proyectos\Proyecto-sistem\backend\accesos\forms.py", "Python", 42, 0, 0, 0, 0, 0, 4, 9, 55
"d:\proyectos\Proyecto-sistem\backend\accesos\migrations\0001_initial.py", "Python", 28, 0, 0, 0, 0, 0, 1, 7, 36
"d:\proyectos\Proyecto-sistem\backend\accesos\migrations\0002_initial.py", "Python", 32, 0, 0, 0, 0, 0, 1, 7, 40
"d:\proyectos\Proyecto-sistem\backend\accesos\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\proyectos\Proyecto-sistem\backend\accesos\models.py", "Python", 24, 0, 0, 0, 0, 0, 0, 5, 29
"d:\proyectos\Proyecto-sistem\backend\accesos\tests.py", "Python", 281, 0, 0, 0, 0, 0, 50, 60, 391
"d:\proyectos\Proyecto-sistem\backend\accesos\urls.py", "Python", 13, 0, 0, 0, 0, 0, 3, 3, 19
"d:\proyectos\Proyecto-sistem\backend\accesos\views.py", "Python", 70, 0, 0, 0, 0, 0, 9, 16, 95
"d:\proyectos\Proyecto-sistem\backend\condominio_app\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\proyectos\Proyecto-sistem\backend\condominio_app\asgi.py", "Python", 4, 0, 0, 0, 0, 0, 8, 5, 17
"d:\proyectos\Proyecto-sistem\backend\condominio_app\forms.py", "Python", 3, 0, 0, 0, 0, 0, 7, 2, 12
"d:\proyectos\Proyecto-sistem\backend\condominio_app\models.py", "Python", 0, 0, 0, 0, 0, 0, 9, 1, 10
"d:\proyectos\Proyecto-sistem\backend\condominio_app\settings.py", "Python", 146, 0, 0, 0, 0, 0, 36, 38, 220
"d:\proyectos\Proyecto-sistem\backend\condominio_app\urls.py", "Python", 42, 0, 0, 0, 0, 0, 7, 7, 56
"d:\proyectos\Proyecto-sistem\backend\condominio_app\views.py", "Python", 80, 0, 0, 0, 0, 0, 13, 19, 112
"d:\proyectos\Proyecto-sistem\backend\condominio_app\wsgi.py", "Python", 4, 0, 0, 0, 0, 0, 8, 5, 17
"d:\proyectos\Proyecto-sistem\backend\manage.py", "Python", 15, 0, 0, 0, 0, 0, 3, 5, 23
"d:\proyectos\Proyecto-sistem\backend\personal\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
